order,condition,pairwise_quality,mean_score,success_tasks,task_firsts,median_latency_s,total_cost_usd,mean_output_tokens,judge_rank_spread,deterministic_check_pct,pareto
1,Luna/xhigh,78.676,94.241,8,1,269.13,0.77753,16057.5,6,25.0,True
2,Sol/xhigh,69.118,92.531,8,1,220.308,2.49081,9909.9,6,16.67,True
3,Sol/high,62.868,91.981,8,1,143.228,1.64122,6697.4,4.375,16.67,True
4,Luna/max,61.397,91.989,7,2,421.61,1.046094,24768.1,3.429,30.0,False
5,Luna/none,59.559,86.247,8,0,30.305,0.091598,1767.2,7.125,16.67,True
6,Luna/low,57.353,90.175,8,1,38.025,0.107126,2090.8,7.125,16.67,False
7,Sol/max,55.147,92.843,7,0,459.706,4.36656,20654.3,4.714,20.0,False
8,Sol/medium,54.412,91.006,8,0,92.581,1.06984,4316.6,5.625,16.67,False
9,Terra/max,50.735,92.986,7,0,485.629,2.828265,26797,8.571,20.0,False
10,Luna/high,50.368,91.156,8,1,126.656,0.365102,7465.2,5.5,8.33,False
11,Terra/xhigh,45.221,90.631,8,0,190.765,1.32167,10872.9,6.875,16.67,False
12,Luna/medium,44.853,85.266,8,0,50.999,0.133166,2633.2,8,16.67,False
13,Sol/low,44.485,85.059,8,0,68.383,0.69493,2754.5,5,16.67,False
14,Terra/medium,43.75,87.8,8,1,70.07,0.466655,3747.8,6.25,16.67,False
15,Sol/none,37.868,82.975,8,0,48.494,0.6181,2434.4,6.25,8.33,False
16,Terra/high,36.397,89.487,8,0,88.176,0.6518,5290.6,5.25,16.67,False
17,Terra/low,26.103,86.066,8,0,56.862,0.369575,2938.8,4.875,16.67,False
18,Terra/none,21.691,84.225,8,0,36.32,0.290705,2281.5,5.625,16.67,False
